season,team,total_runs,total_balls,avg_strike_rate,home_matches,home_wins,home_win_rate,toss_win_rate,bat_first_decision_rate,late_season_match_pct
2008.0,CSK,2365.0,1802.0,115.00209523809524,9.0,4.0,0.4444444444444444,0.3125,0.8,0.75
2008.0,DC,2000.0,1502.0,116.5484,8.0,4.0,0.5,0.4,0.3333333333333333,0.7333333333333333
2008.0,KKR,1801.0,1501.0,105.63754545454546,7.0,4.0,0.5714285714285714,0.42857142857142855,1.0,0.7142857142857143
2008.0,KXIP,2340.0,1684.0,120.28075471698114,7.0,6.0,0.8571428571428571,0.5333333333333333,0.5,0.7333333333333333
2008.0,MI,1897.0,1509.0,108.92549019607843,7.0,4.0,0.5714285714285714,0.5714285714285714,0.125,0.6428571428571429
2008.0,RCB,1865.0,1605.0,99.15251968503938,7.0,1.0,0.14285714285714285,0.35714285714285715,0.4,0.6428571428571429
2008.0,RR,2424.0,1802.0,115.28034188034188,7.0,7.0,1.0,0.6875,0.2727272727272727,0.75
2008.0,SRH,2117.0,1627.0,107.35482456140352,7.0,0.0,0.0,0.6428571428571429,0.4444444444444444,0.7142857142857143
2009.0,CSK,2084.0,1656.0,111.33049019607843,13.0,7.0,0.5384615384615384,0.4666666666666667,0.8571428571428571,0.6
2009.0,DC,2021.0,1662.0,102.66217821782178,8.0,6.0,0.75,0.6,0.4444444444444444,0.6666666666666666
2009.0,KKR,1664.0,1474.0,98.5966304347826,4.0,2.0,0.5,0.5,0.5714285714285714,0.5714285714285714
2009.0,KXIP,1768.0,1615.0,93.3824074074074,6.0,3.0,0.5,0.42857142857142855,0.5,0.6428571428571429
2009.0,MI,1766.0,1548.0,95.1962,2.0,0.0,0.0,0.42857142857142855,1.0,0.6428571428571429
2009.0,RCB,2166.0,1869.0,98.02451127819549,14.0,8.0,0.5714285714285714,0.5,0.625,0.625
2009.0,RR,1592.0,1495.0,88.60640350877192,0.0,0.0,0.0,0.2857142857142857,0.5,0.5714285714285714
2009.0,SRH,2283.0,1839.0,102.04128,12.0,7.0,0.5833333333333334,0.625,0.5,0.6875
2010.0,CSK,2433.0,1876.0,111.82663716814159,8.0,6.0,0.75,0.625,0.7,0.0
2010.0,DC,2028.0,1637.0,105.79672566371681,7.0,3.0,0.42857142857142855,0.5714285714285714,0.625,0.0
2010.0,KKR,1978.0,1641.0,100.97159574468085,7.0,5.0,0.7142857142857143,0.5,0.8571428571428571,0.0
2010.0,KXIP,2155.0,1658.0,114.73273584905661,7.0,1.0,0.14285714285714285,0.35714285714285715,0.6,0.0
2010.0,MI,2553.0,1915.0,119.41761904761906,9.0,7.0,0.7777777777777778,0.5625,0.7777777777777778,0.0
2010.0,RCB,2272.0,1772.0,112.92887931034483,7.0,4.0,0.5714285714285714,0.375,0.16666666666666666,0.0
2010.0,RR,2072.0,1616.0,104.14850877192983,7.0,4.0,0.5714285714285714,0.42857142857142855,0.8333333333333334,0.0
2010.0,SRH,2244.0,1876.0,100.60088888888889,8.0,4.0,0.5,0.5625,0.5555555555555556,0.0
2011.0,CSK,2461.0,1897.0,122.09367346938775,9.0,9.0,1.0,0.5625,0.7777777777777778,0.5625
2011.0,DC,1942.0,1605.0,102.149406779661,7.0,1.0,0.14285714285714285,0.6428571428571429,0.4444444444444444,0.42857142857142855
2011.0,KKR,1905.0,1623.0,104.32631578947368,7.0,4.0,0.5714285714285714,0.4666666666666667,0.14285714285714285,0.4666666666666667
2011.0,KXIP,2080.0,1658.0,100.30771929824562,7.0,5.0,0.7142857142857143,0.7142857142857143,0.3,0.5714285714285714
2011.0,Kochi,1758.0,1521.0,94.6111009174312,7.0,3.0,0.42857142857142855,0.5714285714285714,0.375,0.42857142857142855
2011.0,MI,2143.0,1847.0,106.62169811320754,9.0,5.0,0.5555555555555556,0.375,0.16666666666666666,0.5625
2011.0,PWI,1674.0,1478.0,93.09742857142857,7.0,2.0,0.2857142857142857,0.35714285714285715,0.4,0.5
2011.0,RCB,2325.0,1772.0,112.81268518518519,7.0,5.0,0.7142857142857143,0.35294117647058826,0.0,0.5294117647058824
2011.0,RR,1601.0,1423.0,97.92455555555554,7.0,4.0,0.5714285714285714,0.5,0.14285714285714285,0.42857142857142855
2011.0,SRH,2039.0,1684.0,104.99714285714286,7.0,1.0,0.14285714285714285,0.42857142857142855,0.5,0.5
2012.0,CSK,2717.0,2130.0,123.16015267175572,11.0,7.0,0.6363636363636364,0.3684210526315789,0.5714285714285714,0.47368421052631576
2012.0,DC,2502.0,1926.0,114.88064,9.0,5.0,0.5555555555555556,0.5555555555555556,0.2,0.5
2012.0,KKR,2356.0,1956.0,111.81653225806451,8.0,3.0,0.375,0.3888888888888889,0.5714285714285714,0.4444444444444444
2012.0,KXIP,2286.0,1885.0,114.66795454545455,8.0,3.0,0.375,0.5,0.5,0.4375
2012.0,MI,2333.0,1992.0,92.56573529411764,8.0,3.0,0.375,0.6470588235294118,0.2727272727272727,0.47058823529411764
2012.0,PWI,2183.0,1919.0,101.97992366412214,8.0,2.0,0.25,0.375,0.6666666666666666,0.4375
2012.0,RCB,2351.0,1790.0,114.96532110091742,8.0,3.0,0.375,0.4375,0.14285714285714285,0.4375
2012.0,RR,2393.0,1901.0,113.50311926605505,8.0,4.0,0.5,0.625,0.8,0.4375
2012.0,SRH,2202.0,1771.0,106.35126126126126,8.0,3.0,0.375,0.5625,0.7777777777777778,0.5
2013.0,CSK,2671.0,2042.0,108.7810743801653,10.0,7.0,0.7,0.4444444444444444,0.625,0.4444444444444444
2013.0,DC,2103.0,1878.0,96.85933823529412,8.0,3.0,0.375,0.3125,0.6,0.4375
2013.0,KKR,2134.0,1870.0,98.31669291338582,8.0,5.0,0.625,0.75,0.5,0.4375
2013.0,KXIP,2312.0,1828.0,97.84503875968993,8.0,5.0,0.625,0.4375,0.2857142857142857,0.4375
2013.0,MI,2845.0,2254.0,111.26041666666667,9.0,9.0,1.0,0.631578947368421,0.8333333333333334,0.5263157894736842
2013.0,PWI,2183.0,1901.0,98.02577777777778,8.0,2.0,0.25,0.5625,0.5555555555555556,0.375
2013.0,RCB,2430.0,1819.0,116.95028301886792,8.0,7.0,0.875,0.3125,0.4,0.375
2013.0,RR,2571.0,2106.0,104.67046875,9.0,9.0,1.0,0.6111111111111112,0.5454545454545454,0.5
2013.0,SRH,2178.0,1976.0,100.63139705882354,8.0,7.0,0.875,0.4117647058823529,0.8571428571428571,0.47058823529411764
2014.0,CSK,2519.0,1871.0,131.62848484848485,8.0,4.0,0.5,0.625,0.4,0.6875
2014.0,DC,1978.0,1638.0,99.82587155963303,7.0,1.0,0.14285714285714285,0.2857142857142857,0.25,0.6428571428571429
2014.0,KKR,2372.0,1820.0,108.499009009009,8.0,6.0,0.75,0.5625,0.2222222222222222,0.6875
2014.0,KXIP,2824.0,1980.0,119.47744,8.0,5.0,0.625,0.4117647058823529,0.14285714285714285,0.7058823529411765
2014.0,MI,2235.0,1751.0,118.68175438596491,8.0,4.0,0.5,0.4,0.5,0.6666666666666666
2014.0,RCB,1992.0,1620.0,111.55905660377358,7.0,3.0,0.42857142857142855,0.6428571428571429,0.2222222222222222,0.6428571428571429
2014.0,RR,2059.0,1621.0,120.35472727272727,7.0,3.0,0.42857142857142855,0.5714285714285714,0.25,0.6428571428571429
2014.0,SRH,1943.0,1587.0,118.86377551020408,7.0,2.0,0.2857142857142857,0.5,0.5714285714285714,0.6428571428571429
2015.0,CSK,2564.0,2005.0,114.17151515151515,10.0,7.0,0.7,0.5882352941176471,0.7,0.5294117647058824
2015.0,DC,2061.0,1615.0,109.9645,7.0,3.0,0.42857142857142855,0.35714285714285715,0.4,0.5
2015.0,KKR,1939.0,1419.0,124.08267326732674,7.0,5.0,0.7142857142857143,0.5714285714285714,0.125,0.42857142857142855
2015.0,KXIP,1889.0,1582.0,103.2508064516129,7.0,1.0,0.14285714285714285,0.5,0.42857142857142855,0.5
2015.0,MI,2611.0,1885.0,123.84061403508773,7.0,4.0,0.5714285714285714,0.4375,0.7142857142857143,0.5625
2015.0,RCB,2190.0,1518.0,128.69242718446603,7.0,3.0,0.42857142857142855,0.625,0.2,0.5625
2015.0,RR,2038.0,1548.0,117.52901960784313,8.0,4.0,0.5,0.4,0.16666666666666666,0.4
2015.0,SRH,2117.0,1619.0,118.15371428571429,7.0,3.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5
2016.0,DC,1995.0,1596.0,106.53980198019802,7.0,4.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714
2016.0,GL,2318.0,1826.0,107.6740157480315,8.0,4.0,0.5,0.5,0.0,0.5625
2016.0,KKR,2133.0,1634.0,124.87623762376238,8.0,4.0,0.5,0.4,0.0,0.5333333333333333
2016.0,KXIP,2051.0,1618.0,106.06895652173914,7.0,2.0,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.5714285714285714
2016.0,MI,2091.0,1620.0,110.49177570093458,7.0,3.0,0.42857142857142855,0.6428571428571429,0.2222222222222222,0.42857142857142855
2016.0,RCB,2863.0,1868.0,129.15541666666667,9.0,5.0,0.5555555555555556,0.375,0.16666666666666666,0.625
2016.0,RPS,1962.0,1528.0,113.70021978021977,7.0,2.0,0.2857142857142857,0.5,0.42857142857142855,0.5
2016.0,SRH,2549.0,1977.0,112.1348031496063,7.0,4.0,0.5714285714285714,0.5882352941176471,0.3,0.5882352941176471
2017.0,DC,2131.0,1607.0,110.3420168067227,7.0,4.0,0.5714285714285714,0.5714285714285714,0.375,0.42857142857142855
2017.0,GL,2309.0,1622.0,116.75882882882883,7.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.35714285714285715
2017.0,KKR,2354.0,1711.0,116.59982608695651,7.0,4.0,0.5714285714285714,0.5625,0.0,0.375
2017.0,KXIP,2099.0,1550.0,113.05864077669904,7.0,4.0,0.5714285714285714,0.2857142857142857,0.0,0.35714285714285715
2017.0,MI,2622.0,1962.0,118.91814814814815,10.0,7.0,0.7,0.6470588235294118,0.18181818181818182,0.47058823529411764
2017.0,RCB,1760.0,1494.0,96.042,7.0,1.0,0.14285714285714285,0.6428571428571429,0.4444444444444444,0.2857142857142857
2017.0,RPS,2370.0,1844.0,111.89236842105262,7.0,5.0,0.7142857142857143,0.375,0.0,0.4375
2017.0,SRH,2262.0,1638.0,131.07941860465115,8.0,6.0,0.75,0.3333333333333333,0.2,0.3333333333333333
2018.0,CSK,2698.0,1887.0,123.27528301886792,8.0,7.0,0.875,0.6875,0.09090909090909091,0.5
2018.0,DC,2250.0,1548.0,120.47755319148935,7.0,4.0,0.5714285714285714,0.5714285714285714,0.375,0.42857142857142855
2018.0,KKR,2655.0,1866.0,134.564609375,9.0,5.0,0.5555555555555556,0.5625,0.0,0.5
2018.0,KXIP,2124.0,1576.0,110.07763157894738,7.0,4.0,0.5714285714285714,0.5,0.14285714285714285,0.5
2018.0,MI,2255.0,1666.0,117.09681818181818,7.0,3.0,0.42857142857142855,0.35714285714285715,0.2,0.5
2018.0,RCB,2240.0,1588.0,112.48777777777778,7.0,4.0,0.5714285714285714,0.5,0.0,0.5
2018.0,RR,2276.0,1715.0,115.48420168067227,7.0,5.0,0.7142857142857143,0.4,0.3333333333333333,0.5333333333333333
2018.0,SRH,2600.0,2001.0,112.83592,8.0,5.0,0.625,0.4117647058823529,0.2857142857142857,0.5294117647058824
2019.0,CSK,2346.0,1999.0,104.37017241379311,8.0,7.0,0.875,0.7058823529411765,0.25,0.29411764705882354
2019.0,DC,2418.0,1858.0,115.9367175572519,8.0,5.0,0.625,0.625,0.2,0.25
2019.0,KKR,2352.0,1633.0,126.2725,7.0,3.0,0.42857142857142855,0.35714285714285715,0.0,0.14285714285714285
2019.0,KXIP,2326.0,1663.0,119.96960396039604,7.0,5.0,0.7142857142857143,0.42857142857142855,0.0,0.14285714285714285
2019.0,MI,2554.0,1885.0,123.50247863247864,9.0,6.0,0.6666666666666666,0.5,0.375,0.25
2019.0,RCB,2129.0,1571.0,110.28761904761906,7.0,3.0,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142
2019.0,RR,2103.0,1568.0,113.90928571428572,7.0,3.0,0.42857142857142855,0.7857142857142857,0.18181818181818182,0.07142857142857142
2019.0,SRH,2345.0,1719.0,116.91867924528302,7.0,5.0,0.7142857142857143,0.26666666666666666,0.0,0.2
2020.0,CSK,2095.0,1652.0,114.06064516129031,7.0,2.0,0.2857142857142857,0.5714285714285714,0.375,0.0
2020.0,DC,2656.0,2039.0,112.12503875968991,10.0,5.0,0.5,0.5882352941176471,0.5,0.0
2020.0,KKR,2123.0,1672.0,104.0328205128205,7.0,4.0,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.0
2020.0,KXIP,2242.0,1654.0,117.2954255319149,7.0,3.0,0.42857142857142855,0.2857142857142857,0.25,0.0
2020.0,MI,2642.0,1810.0,132.57304761904763,7.0,5.0,0.7142857142857143,0.5,0.5,0.0
2020.0,RCB,2158.0,1744.0,107.58283018867925,8.0,2.0,0.25,0.4,0.6666666666666666,0.0
2020.0,RR,2197.0,1631.0,121.00830357142857,7.0,3.0,0.42857142857142855,0.5,0.2857142857142857,0.0
2020.0,SRH,2395.0,1858.0,108.58828828828828,7.0,4.0,0.5714285714285714,0.6875,0.36363636363636365,0.0
2021.0,CSK,2607.0,1882.0,126.09972477064221,8.0,6.0,0.75,0.375,0.3333333333333333,0.0625
2021.0,DC,2382.0,1853.0,121.4196261682243,9.0,6.0,0.6666666666666666,0.5,0.125,0.0625
2021.0,KKR,2423.0,1918.0,108.934496124031,7.0,4.0,0.5714285714285714,0.47058823529411764,0.125,0.0
2021.0,MI,2016.0,1593.0,104.29617391304348,7.0,4.0,0.5714285714285714,0.5714285714285714,0.375,0.07142857142857142
2021.0,PBKS,2061.0,1629.0,103.9168932038835,7.0,2.0,0.2857142857142857,0.0,0.0,0.07142857142857142
2021.0,RCB,2181.0,1766.0,102.29017543859649,8.0,5.0,0.625,0.6666666666666666,0.4,0.0
2021.0,RR,2087.0,1641.0,99.47224137931035,7.0,4.0,0.5714285714285714,0.5714285714285714,0.125,0.07142857142857142
2021.0,SRH,1959.0,1670.0,103.37896551724137,7.0,2.0,0.2857142857142857,0.5,0.42857142857142855,0.07142857142857142
2022.0,CSK,2165.0,1652.0,102.42544642857142,7.0,2.0,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.42857142857142855
2022.0,DC,2218.0,1589.0,117.16364485981309,7.0,4.0,0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855
2022.0,GT,2517.0,1902.0,113.19297297297297,9.0,7.0,0.7777777777777778,0.625,0.4,0.4375
2022.0,KKR,2109.0,1572.0,109.13024,7.0,4.0,0.5714285714285714,0.5714285714285714,0.125,0.35714285714285715
2022.0,LSG,2405.0,1761.0,118.6217543859649,8.0,4.0,0.5,0.4666666666666667,0.2857142857142857,0.4
2022.0,MI,2100.0,1633.0,114.45104347826087,7.0,1.0,0.14285714285714285,0.6428571428571429,0.0,0.35714285714285715
2022.0,PBKS,2193.0,1620.0,120.69181818181818,7.0,2.0,0.2857142857142857,0.0,0.0,0.35714285714285715
2022.0,RCB,2454.0,1875.0,113.72864,7.0,4.0,0.5714285714285714,0.5,0.25,0.375
2022.0,RR,2807.0,2036.0,122.63224000000001,8.0,4.0,0.5,0.23529411764705882,0.5,0.47058823529411764
2022.0,SRH,2084.0,1570.0,111.9183495145631,7.0,2.0,0.2857142857142857,0.7142857142857143,0.1,0.42857142857142855
2023.0,CSK,2600.0,1749.0,136.86271028037382,8.0,5.0,0.625,0.6,0.4444444444444444,0.4
2023.0,DC,1865.0,1542.0,94.69417322834646,7.0,2.0,0.2857142857142857,0.5384615384615384,0.2857142857142857,0.38461538461538464
2023.0,GT,2906.0,1981.0,127.38310344827586,9.0,5.0,0.5555555555555556,0.5294117647058824,0.2222222222222222,0.5294117647058824
2023.0,KKR,2167.0,1537.0,113.89442477876106,7.0,2.0,0.2857142857142857,0.38461538461538464,0.2,0.38461538461538464
2023.0,LSG,2207.0,1643.0,113.52458333333334,7.0,3.0,0.42857142857142855,0.21428571428571427,0.0,0.42857142857142855
2023.0,MI,2639.0,1758.0,122.58146551724138,6.0,4.0,0.6666666666666666,0.6,0.1111111111111111,0.5333333333333333
2023.0,PBKS,2228.0,1558.0,122.8610909090909,6.0,1.0,0.16666666666666666,0.0,0.0,0.3076923076923077
2023.0,RCB,2393.0,1644.0,118.93358490566037,7.0,3.0,0.42857142857142855,0.5714285714285714,0.375,0.42857142857142855
2023.0,RR,2287.0,1567.0,113.92682242990654,7.0,2.0,0.2857142857142857,0.7142857142857143,0.4,0.35714285714285715
2023.0,SRH,2268.0,1674.0,121.4641592920354,7.0,1.0,0.14285714285714285,0.5,0.42857142857142855,0.42857142857142855
